AENC;NUMC;NIND;ELEP;TH;CAPITAL;SEXO;EDAD;LNAC;NACI;NIVI;LEST3;RELA;TIPF;TGRU;SVIDA;SRELA;STGUS;SECON;SVIVI;SZONA;SRECR;STRAB;STIEM;MERECE;HABLAR;AYFAM;TENSO;MORAL;CALMA;DEPRE;FELIZ;CPER;CPOL;CJUS;CERTZ;SENSE;SVIVENT;SHOGTR;ANIMO;RELPER;CPUBLI;SITEC1;SAPER;RELFA1
2024;2722;2;833,64358;20;00009;6;03;1;1;;3;1;4;2;7;8;5;8;8;8;5;7;9;8;1;1;4;4;2;4;2;3;0;0;5;1;7;8;7;8;2;3;1;1
2024;2724;1;151,27828;20;00009;1;03;1;1;;2;1;1;1;9;9;7;9;6;8;6;9;8;9;1;1;3;4;2;4;2;6;6;6;6;1;7;9;7;8;6;3;2;1
2024;2725;1;317,95305;20;00009;1;03;1;1;;3;1;3;3;5;2;7;7;7;3;3;7;7;6;1;1;3;5;3;5;3;7;3;5;5;2;5;7;7;6;4;3;2;1
2024;2726;2;299,73794;20;00009;6;01;1;1;;1;2;5;4;8;7;7;7;8;8;8;97;;9;1;1;3;3;2;3;2;7;7;6;6;1;8;7;6;7;6;3;1;1
2024;2727;2;304,83826;20;00009;6;06;1;1;;1;3;3;3;7;8;8;8;8;6;7;97;;7;1;1;3;3;2;5;2;7;6;6;6;3;6;8;7;8;6;3;1;1
2024;2728;1;158,97652;20;00009;1;04;1;1;;2;3;1;1;0;5;0;0;0;0;0;97;;10;1;1;2;2;4;2;3;5;0;0;5;2;2;0;3;7;2;1;4;1
2024;2730;2;404,02951;20;00009;6;04;1;1;;3;1;4;2;8;8;6;8;8;8;5;8;5;7;1;1;3;4;2;3;2;8;4;4;4;2;7;7;6;8;4;3;2;1
2024;2731;3;476,92957;20;00009;1;03;1;1;;3;1;4;2;8;8;7;8;7;5;6;7;8;8;1;1;4;5;2;5;2;10;4;4;5;1;7;8;8;8;4;3;1;1
2024;2732;2;304,83826;20;00009;6;06;1;1;;1;3;3;3;8;8;7;9;9;9;5;97;;8;1;1;4;4;4;4;2;7;5;5;4;2;7;9;6;8;5;3;2;1
2024;2733;4;599,47588;20;00009;6;01;1;1;;2;3;4;2;7;7;6;6;7;7;8;97;;7;1;1;3;3;3;3;2;6;5;5;6;2;7;6;5;7;5;1;2;1
2024;2735;1;145,21667;20;00009;1;05;1;1;;1;1;1;1;6;4;7;7;7;10;10;5;6;7;2;7;3;3;2;3;2;6;4;4;4;1;9;6;6;2;4;3;4;1
2024;2736;3;749,34485;20;00009;6;01;5;6;;1;2;4;2;10;10;10;4;10;3;7;97;;10;1;1;4;4;2;4;2;8;0;0;0;3;6;4;7;8;0;2;1;1
2024;2738;1;256,11662;20;00009;1;06;4;1;;1;3;3;3;10;10;10;10;10;10;10;97;;10;1;1;4;5;2;4;2;5;3;5;3;1;10;10;7;8;4;3;2;1
2024;2739;2;428,64179;20;00009;6;02;1;1;;3;1;3;3;6;7;5;6;6;6;1;5;10;6;1;1;3;3;3;2;3;4;3;3;3;3;4;7;5;7;3;1;2;1
2024;2740;3;428,79488;20;00009;1;01;1;1;;2;1;4;2;8;10;10;9;9;9;8;9;9;10;1;1;4;4;1;4;1;8;8;8;8;2;8;9;8;8;8;3;1;1
2024;4367;1;378,14993;48;00009;6;07;4;1;;1;3;5;4;10;10;8;7;8;8;9;97;;10;1;1;4;5;2;5;2;9;4;4;7;3;7;7;8;8;5;1;2;1
2024;4368;2;589,59576;48;00009;6;04;1;1;;3;1;4;2;5;9;3;8;8;8;8;10;10;6;1;1;3;3;3;3;3;10;0;2;7;3;7;9;5;8;3;3;2;1
2024;4369;1;384,33889;48;00009;1;05;1;1;;3;1;5;4;8;9;6;7;8;7;6;9;7;9;1;1;3;5;2;3;2;9;4;4;5;2;7;8;7;8;4;2;2;1
2024;4370;2;196,53192;48;00009;6;03;5;6;;1;1;1;1;9;9;9;7;7;9;10;10;9;9;1;1;3;3;3;3;3;8;6;7;9;2;8;9;5;8;7;1;2;1
2024;4371;2;990,10076;48;00009;6;05;1;1;;3;3;7;5;8;9;8;7;8;9;9;97;;9;1;1;3;5;3;5;2;6;6;6;6;3;8;7;7;8;6;3;2;1
2024;4373;2;792,08061;48;00009;6;05;1;1;;1;1;4;2;8;7;3;5;8;8;8;6;7;7;1;1;3;3;2;4;2;6;1;2;3;2;8;6;6;7;2;3;2;4
2024;4374;2;393,06384;48;00009;6;04;1;1;;3;1;3;3;4;4;4;4;6;6;5;1;1;1;1;1;2;2;3;2;3;3;0;5;5;4;5;2;4;6;3;3;3;1
2024;4376;1;221,95942;48;00009;6;03;1;1;;2;1;1;1;8;8;8;7;8;6;7;8;8;8;1;1;5;5;1;5;2;6;3;4;5;3;6;8;9;8;4;3;1;1
2024;4377;1;189,07497;48;00009;6;07;4;1;;1;3;1;1;9;10;10;10;10;10;10;97;;10;1;1;5;5;1;5;1;8;10;10;10;2;9;10;9;8;10;3;2;1
2024;4379;2;583,05181;48;00009;1;02;5;6;;1;1;2;5;2;8;4;3;3;3;3;6;5;6;1;1;3;3;3;3;3;6;0;0;2;4;3;5;5;8;1;2;2;4
2024;4381;1;242,25138;48;00009;6;02;1;1;;2;1;1;1;9;9;5;8;8;6;5;9;10;8;1;1;3;3;3;5;3;4;0;4;4;3;6;9;6;8;3;2;2;1
2024;4382;2;378,14993;48;00009;6;07;1;1;;1;3;3;3;8;8;8;9;8;8;8;97;;8;1;1;3;5;3;5;3;8;4;5;10;3;7;9;7;8;6;3;2;1
2024;4384;2;567,22490;48;00009;6;06;1;1;;2;3;6;5;9;10;10;7;8;8;8;97;;8;1;1;4;4;2;5;3;7;5;5;7;3;7;7;7;8;6;3;2;1
2024;4385;2;412,07297;48;00009;1;06;1;1;;1;3;3;3;7;7;7;5;7;7;7;97;;7;1;1;3;5;2;5;3;7;0;8;7;3;6;5;7;7;5;3;3;1
2024;4388;2;786,12768;48;00009;6;04;4;1;;2;3;4;2;5;7;1;0;7;7;7;97;;7;1;1;2;3;3;3;3;6;3;6;8;3;6;0;5;7;6;1;2;1
